Date : 2026-04-09 16:28:27
Directory : /Users/ebelthomasseiko/ClippedAI
Total : 165 files,  24621 codes, 598 comments, 1984 blanks, all 27203 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |     11,045 |          0 |          2 |     11,047 |
| TypeScript JSX     |         82 |      8,698 |        213 |        961 |      9,872 |
| TypeScript         |         34 |      1,634 |         68 |        298 |      2,000 |
| Python             |         13 |      1,318 |        126 |        304 |      1,748 |
| Shell Script       |          6 |        655 |         92 |        131 |        878 |
| Markdown           |          4 |        312 |          0 |        126 |        438 |
| CSS                |          1 |        265 |          0 |         25 |        290 |
| YAML               |          2 |        179 |          7 |         23 |        209 |
| JavaScript         |          5 |        173 |          8 |         17 |        198 |
| MS SQL             |          4 |        170 |         56 |         64 |        290 |
| Properties         |          2 |         71 |         20 |         15 |        106 |
| JSON with Comments |          2 |         50 |          0 |          5 |         55 |
| Docker             |          1 |         33 |          8 |         13 |         54 |
| pip requirements   |          1 |         13 |          0 |          0 |         13 |
| XML                |          5 |          5 |          0 |          0 |          5 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                     |        165 |     24,621 |        598 |      1,984 |     27,203 |
| . (Files)                                                                                                             |          3 |        287 |          0 |         92 |        379 |
| .github                                                                                                               |          1 |        135 |          7 |         20 |        162 |
| .github/workflows                                                                                                     |          1 |        135 |          7 |         20 |        162 |
| backend                                                                                                               |         14 |      1,331 |        126 |        304 |      1,761 |
| backend (Files)                                                                                                       |          6 |        382 |         22 |         88 |        492 |
| backend/src                                                                                                           |          6 |        898 |         96 |        185 |      1,179 |
| backend/tests                                                                                                         |          2 |         51 |          8 |         31 |         90 |
| deploy                                                                                                                |          6 |        494 |         62 |        116 |        672 |
| frontend                                                                                                              |        136 |     22,001 |        351 |      1,381 |     23,733 |
| frontend (Files)                                                                                                      |         10 |     11,261 |         13 |         44 |     11,318 |
| frontend/prisma                                                                                                       |          4 |        170 |         56 |         64 |        290 |
| frontend/prisma/migrations                                                                                            |          4 |        170 |         56 |         64 |        290 |
| frontend/prisma/migrations (Files)                                                                                    |          1 |         80 |         21 |         28 |        129 |
| frontend/prisma/migrations/20260101000000_init                                                                        |          1 |         80 |         21 |         28 |        129 |
| frontend/prisma/migrations/20260402_cleanup_remove_post_add_indexes                                                   |          1 |          5 |          4 |          4 |         13 |
